                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"EAST TENNESSEE STATE UNIVERSITY","5R01HL054633-06","Hoover, Donald B","Role of Nonclassical Transmitters in Cardiac Ganglia","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 217,374","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                              
"EAST TENNESSEE STATE UNIVERSITY","5R01HL071233-03","Agrawal, Alok ","Structure-Function Relationships of C-Reactive Protein","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 255,500","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                              
"EAST TENNESSEE STATE UNIVERSITY","5R01HL071519-02","Singh, Krishna ","Molecular Signals Against Beta-AR-Stimulated Apoptosis","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 243,065","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                               
"EAST TENNESSEE STATE UNIVERSITY","5R21HL072138-02","Kao, Race L","TURNING SCAR INTO VIABLE MYOCARDIUM","SURGERY","SCHOOLS OF MEDICINE","$ 164,702","JOHNSON CITY","TENNESSEE","37601","  "                                                                                                                                                                                                                                                                                                                         
"FISK UNIVERSITY","5S06GM062813-03","Collins, Warren E","MBRS/SCORE Program at Fisk University","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 374,738","NASHVILLE","TENNESSEE","37208-3051","  "                                                                                                                                                                                                                                                                                                                      
"GENERX+, INC.","5R42HL064536-03","Brigham, Kenneth L","p20, Molecular Shortstop for Inflammatory Lung Diseases","","","$ 284,688","NASHVILLE","TENNESSEE","37201-1322","  "                                                                                                                                                                                                                                                                                                                                        
"GENERX+, INC.","5R44HL065791-03","Sanders, Jonathan R","Improved Plasmid/Liposome Administration to the Lungs","","","$ 331,532","NASHVILLE","TENNESSEE","37201-1322","  "                                                                                                                                                                                                                                                                                                                                         
"GTX, INC.","1R41CA103255-01","Whitt, Michael A","Targeted Oncolytic VSV as a Prostate Cancer Therapy","","","$ 130,741","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                                                         
"GTX, INC.","1R41CA103269-01","Whitt, Michael A","Developing VSV cytolytics against High-Grade CNS gliomas","","","$ 140,097","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                                                    
"INTERNATIONAL MAMMALIAN GENOME SOCIETY","5R13HG002394-03","Justice, Monica ","The International Mouse Genome Conference","","","$ 49,922","OAK RIDGE","TENNESSEE","37831-0858","  "                                                                                                                                                                                                                                                                                                                                
"MEHARRY MEDICAL COLLEGE","1C06RR018813-01","Maupin, John E","EXPANSION OF NEUROSCIENCE CLUSTERS","NONE","SCHOOLS OF MEDICINE","$ 3,000,000","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                                   
"MEHARRY MEDICAL COLLEGE","1F31AI056667-01","Simmons, Kaneatra J","Minority Predoctoral Fellowship Program","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 37,789","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                         
"MEHARRY MEDICAL COLLEGE","1F31AI056674-01","Augustine, Swinburne A","Minority Predoctoral Fellowship Program","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 37,789","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                      
"MEHARRY MEDICAL COLLEGE","1F31GM064087-01A1","Brisbon, Wendy ","MARC Predoctoral Fellowship","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 32,193","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","1F31GM069036-01","Hinton, Cimona V","Heregulin Beta 1 Enhances Nuclear Localization of BRCA1","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 31,808","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                       
"MEHARRY MEDICAL COLLEGE","1F31GM069166-01","Jones, Candace A","MARC PREDOCTORAL FELLOWSHIP","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 32,194","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                        
"MEHARRY MEDICAL COLLEGE","1P20MD000516-01","Coney, Ponjola ","Meharry EXPORT Center for Health Disparities","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 1,483,710","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                     
"MEHARRY MEDICAL COLLEGE","1R01AI052022-01A2","Chen, Chin H","Dynamic envelope interactions and HIV-1 neutralization.","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 17,487","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","1R03CA105995-01","Briggs, Nathaniel C","Race-Specific Occupational Risk Factors for Cancer","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 72,750","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                           
"MEHARRY MEDICAL COLLEGE","1R15ES012168-01","Ramesh, Aramandla ","Dietary fat modulated metabolic fate of fluoranthene","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 145,500","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                       
"MEHARRY MEDICAL COLLEGE","1R15HL071525-01","Guo, Zhongmao ","The role of reactive oxygen species in atherogenesis","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 145,500","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                   
"MEHARRY MEDICAL COLLEGE","1S21MD000551-01","Maupin, John E","Endowment Disparities Research Meharry Medical College","NONE","SCHOOLS OF MEDICINE","$ 5,000,000","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                               
"MEHARRY MEDICAL COLLEGE","1U01AA014939-01","Neff, James A","Meharry Alcohol Research Collaborative (MARC)","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 345,181","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                     
"MEHARRY MEDICAL COLLEGE","1U01DK065473-01","Faulkner, Marquetta L","AASK Cohort Study, Clinical Research Center at Meharry","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 41,110","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                     
"MEHARRY MEDICAL COLLEGE","1U54HD044315-01","Coney, Ponjola ","Cooperative Center for Research in Reproduction","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 1,322,330","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                  
"MEHARRY MEDICAL COLLEGE","1U54RR019192-01","Grandison, David ","Meharry Center for Health Disparities Research in HIV","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 667,134","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                         
