                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5R37AI029579-14","Doherty, Peter C","CELL MEDIATED IMMUNITY IN INFLUENZA","","","$ 301,832","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                                        
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5R37CA036401-20","Evans, William E","DRUG METABOLISM IN CHILDHOOD CANCER","","","$ 481,745","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                                        
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5R37GM034496-19","Rock, Charles O","REGULATION OF LIPID METABOLISM IN BACTERIA","","","$ 477,225","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                                  
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5R37NS036558-07","Curran, Tom ","ROLE OF REELIN IN CONTROL OF CELL MIGRATION IN BRAIN","","","$ 375,000","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                           
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5T32CA070089-07","Kastan, Michael B","Laboratory Training for Clinical Oncologists","","","$ 354,433","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                              
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5U01AI032908-11","Flynn, Patricia M","Pediatric AIDS Clinical Trials Group","","","$ 1,116,567","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                                    
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5U01CA081445-05","Kun, Larry E","STJUDE PARTICIPATION IN PEDIATRIC BRAIN TUMOR CONSORTIUM","","","$ 136,664","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                       
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","5U01CA081457-05","Boyett, James M","OPERATION, BIOSTATISTICS AND DATA MANAGEMENT CENTER","","","$ 1,125,409","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                       
"ST. JUDE CHILDREN'S RESEARCH HOSPITAL","7R01GM045607-14","Bashford, Donald E","THEORETICAL STUDIES OF PROTEIN ELECTROSTATICS","","","$ 5,651","MEMPHIS","TENNESSEE","38105-2794","  "                                                                                                                                                                                                                                                                                                                              
"TENNESSEE STATE UNIVERSITY","2S06GM008092-28","Johnson, Terrance L","Research on Biological Mechanisms and Minority Health","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 386,873","NASHVILLE","TENNESSEE","37203","  "                                                                                                                                                                                                                                                                                              
"TENNESSEE STATE UNIVERSITY","3S06GM008092-28S1","Newkirk, Robert F","Research on Biological Mechanisms and Minority Health","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 158,856","NASHVILLE","TENNESSEE","37203","  "                                                                                                                                                                                                                                                                                              
"TENNESSEE STATE UNIVERSITY","5K02DC000180-04","Assonbatres, Mary A","VITAMIN A STATUS/EFFECTS ON OLFACTORY NEURON MATURATION","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 66,372","NASHVILLE","TENNESSEE","37203","  "                                                                                                                                                                                                                                                                                             
"TENNESSEE STATE UNIVERSITY","5P20MD000261-02","Newkirk, Robert F","Building Research Capacity in Neuroscience","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 777,610","NASHVILLE","TENNESSEE","37203","  "                                                                                                                                                                                                                                                                                                           
"TENNESSEE STATE UNIVERSITY","5T34GM007663-24","Kahlon, Prem S","MARC-UNDERGRADUATE TRAINING IN ACADEMIC RESEARCH","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 436,917","NASHVILLE","TENNESSEE","37203","  "                                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF MEMPHIS","1R01AI056995-01","Hu, Xiaoqiong J","Statistical Methods in HIV/AIDS Research","BIOSTATISTICS & OTHER MATH SCI","SCHOOLS OF ARTS AND SCIENCES","$ 72,286","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                
"UNIVERSITY OF MEMPHIS","1R21CA091987-01A2","Beech, Bettina M","SMOKING CESSATION IN AFRICAN-AMERICAN MEN: A PILOT STUDY","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 139,500","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF MEMPHIS","1R21TW006545-01","Ward, Kenneth D","HEALTH/ENVIRONMENTAL RISKS IN INFORMAL URBAN SETTLEMENTS","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 139,000","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF MEMPHIS","1R55DC006222-01","Cox, Robyn M","Optimizing Hearing Aid Fitting for Older Adults","NONE","OTHER SPECIALIZED SCHOOLS","$ 100,000","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF MEMPHIS","2U01HL062662-05","Klesges, Robert C","DECREASING WEIGHT GAIN IN AA PREADOLESCENT GIRLS PHASE2","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 1,213,879","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF MEMPHIS","5R01HL050723-11","Robinson, Leslie A","SMOKING ONSET IN A BIETHNIC POPULATION","NONE","ORGANIZED RESEARCH UNITS","$ 330,114","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF MEMPHIS","5R01HL063216-03","Gartner, Theodore K","Mechanism of LSA Induced Outside-in Signal Transduction","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 206,855","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF MEMPHIS","5R01TW005962-02","Ward, Kenneth D","Establishment of the Syrian Center for Tobacco Studies","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 334,377","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF MEMPHIS","5U01AA013506-02","Mittleman, Guy ","INIA:schedule-induced polydipsia and excessive ethanol","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 96,567","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF MEMPHIS","5U01AA013509-02","Matthews, Douglas B","INIA: System Mechanisms in Stress-Alcohol Interactions","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 266,529","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF MEMPHIS","5U01AA013515-02","Sutter, Thomas R","INIA: Consortium-Bioanalytical Core","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 465,709","MEMPHIS","TENNESSEE","38152","  "                                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR"," N01AG962103-010","","DYNAMICS OF HEALTH, AGING, AND BODY COMPOSITION","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 738,066","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR"," N01AR992242-008","","MULTI-CNTER PHASE 2 TRIAL OF ORAL TYPE I BOVINE COLLAGE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 708,816","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR"," N01WH932118-020","","VANGUARD CENTER FOR WOMEN'S HEALTH INITIATIVE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 932,529","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1F32HL071419-01A1","Delossantos, Noel M","C-IV in Beta-1 AR coupling to G-protein","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 56,716","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01AA013437-01A2","Waters, Robert S","Fetal Alcohol Exposure and Sensorimotor Cortex Function","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 276,067","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01AR050785-01","Stuart, John M","Pathogenic pathways involved in spontaneous arthritis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 244,440","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01DA015525-01A1","Matta, Shannon G","Gestational Drugs and Nicotine Self-Administration","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 321,750","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01DC005010-01A2","Yoo, Tai J","Immune Responses in Tubulin Induced Hearing Loss in Mice","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 198,107","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                              
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01DK059368-01A2","Park, Edwards A","Hormonal Regulation of Fatty Acid Oxidation","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 277,063","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01DK065227-01","Miller, Duane D","Irreversible Nonsteroidal SARMs for Prostate Cancer","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 295,097","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01HL071781-01A1","Ostrom, Rennolds S","Adenylyl cyclase as a regulator of cardiac fibroblasts","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 214,500","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01HL072375-01A1","Alpert, Bruce S","Genetics of Cardiovascular Reactivity in Black Youth","PEDIATRICS","SCHOOLS OF MEDICINE","$ 438,502","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01NS044163-01A1","Foehring, Robert C","Slowly Inactivating K+ Channels in Pyramidal Neurons","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 300,979","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R01NS046885-01","Cantrell, Angela R","Ion Channel Dysfunction in Huntington's Disease","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 275,393","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R03AI054798-01","Lee, Richard Edward","Whole Cell NMR Studies of MYcobacteria","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 71,500","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R03AI054938-01","Radic, Marko Z","Isolation of Autoantibodies to Apoptotic Cells","OTHER BASIC SCIENCES","SCHOOLS OF MEDICINE","$ 71,500","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R15CA100102-01","Buolamwini, John K","Novel Agents Targeted To p53-Mdm2 Pathways","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 143,000","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R15CA101856-01","Buolamwini, John K","NUCLEOSIDE TRANSPORTERS AS CHEMOPREVENTION TARGETS","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 143,000","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R21AI054875-01","Byrne, Gerald I","Chlamydia trachomatis, Genital Flora, & STD Pathogenesis","OTHER BASIC SCIENCES","SCHOOLS OF MEDICINE","$ 193,000","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R21NS046374-01","Meade, Christopher A","Does cortex kill striatum in HD?","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 169,813","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R25HL075745-01","Hardt, Nancy S","Memphis Science Partners","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 215,200","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1R25MH066890-01A1","Goldowitz, Daniel ","A Neuromutagenesis Training and Education Program","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 170,409","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1S10RR016609-01A1","Tylavsky, Frances A","Dual Energy X-Ray Absorptiometer (QDR4500A)","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 109,350","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1S10RR016731-01A1","Hasty, Karen A","MicroCAT II Small Animal Imaging System","ORTHOPEDICS","SCHOOLS OF MEDICINE","$ 437,800","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1S10RR016949-01A1","Marion, Tony N","FLOW CYTOMETER","OTHER BASIC SCIENCES","SCHOOLS OF MEDICINE","$ 280,550","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1U01HD042686-01A1","Timmons, Shelly D","Traumatic Brain Injury Clinical Trials Network","NEUROSURGERY","SCHOOLS OF MEDICINE","$ 185,990","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","1UC6AI058616-01","Dockter, Michael E","Biocontainment Laboratory/Biodefense/Infectious Disease","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 13,767,463","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                   
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01AI033410-09A2","Albritton, Lorraine M","Molecular Analysis of Murine Leukemia Virus Entry","OTHER BASIC SCIENCES","SCHOOLS OF MEDICINE","$ 80,566","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01AI040198-06","Kotb, Malak ","Immunopathogenesis of Group A Streptococcal Infection","SURGERY","SCHOOLS OF MEDICINE","$ 107,250","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01CA073753-06","Pfeffer, Lawrence M","IFNAR1 signaling through STAT3, PI-3 kinase and NFkB","PATHOLOGY","SCHOOLS OF MEDICINE","$ 303,306","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01DC000066-14","Smith, David V","Brainstem Gustatory Processing","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 325,325","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01DK038760-16","Mansbach, Charles M","Regulation of Intestinal Lipid Transport","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 280,638","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01EY005298-19","Reiner, Anton J","Neural Control of Choroidal Blood Flow","VETERINARY SCIENCES","SCHOOLS OF MEDICINE","$ 357,500","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01HD022551-14A1","Black, Dennis D","Intestinal Lipoproteins in the Neonate","PEDIATRICS","SCHOOLS OF MEDICINE","$ 289,575","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                           
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01HL058133-05A2","Fan, Zheng ","Phosphoinositides and ATP-sensitive K+ channels in heart","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 250,250","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01HL061469-05A1","Tigyi, Gabor J","Therapeutically Promising Phospholipid Growth Factors","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 321,750","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2R01MH051175-10","Odonnell, James M","Neuropsychopharmacology of Cyclic AMP PDE Inhibitors","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 286,000","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                           
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2S07RR018172-02","Dockter, Michael E","UTHSC Human Subjects Research Enhancements Program","NONE","SCHOOLS OF MEDICINE","$ 149,846","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2T32HL007641-16","Malik, Kafait U","Lipid/Lipoprotein Metabolism and Cardiovascular Diseases","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 270,407","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2U01DK048411-10","Kitabchi, Abbas E","Post-DPP Followup Studies","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 464,591","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","2U10HD042638-02","Korones, Sheldon B","Maternal Lifestyle Study Phase 4","PEDIATRICS","SCHOOLS OF MEDICINE","$ 716,338","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3R01CA078616-05S1","Arsura, Marcello ","ROLE OF NF-KB IN TGF-B1 INDUCED APOPTOSIS OF HEPATOCYTES","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 62,634","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3R01EB000418-01A1S1","Dibianca, Frank A","Development and Evaluation of a VRX CT Scanner","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 11,916","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3R21AI053796-01S1","Lee, Richard Edward","Development of TB cell wall biogenesis inhibitors","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 20,265","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3R37AI010085-39S1","Dale, James B","Chemistry and Immunology of Streptococcal M Proteins","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 181,500","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3U01DK057078-05S1","Kitabchi, Abbas E","STUDY OF HEALTH OUTCOMES OF WEIGHT-LOSS (SHOW)","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 7,300","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","3U10HD021414-15S2","Mabie, Bill C","MULTICENTER NETWORK OF MATERNAL-FETAL MEDICINE UNITS","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 31,182","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5F32DA006038-03","Kane, Victoria G","DA Release in the NACC in a Nicotine Self-Admin Model","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 46,192","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5F32DC005270-03","Lemon, Christian H","Effect of amiloride and gurmarin on taste receptor cells","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 46,420","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K01HL067479-04","Buolamwini, John K","NBMPR-BINDING SITE OF THE HUMAN ES ADENOSINE TRANSPORTER","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 149,840","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K01MH001669-05","Cantrell, Angela R","MODULATION OF SODIUM CURRENT AND NEUROLOGICAL DISEASE","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 128,501","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K02MH001231-10","Odonnell, James M","NOVEL MECHANISMS OF ANTIDEPRESSANT ACTIVITY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 132,044","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K23EY000409-03","Iannaccone, Alessandro ","CLINICAL EPIDEMIOLOGY OF RETINAL DEGENERATIONS","OPHTHALMOLOGY","SCHOOLS OF MEDICINE","$ 153,467","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K23RR016047-03","Ryder, Kathryn M","Mentored Patient-Oriented Research Career Development Aw","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 126,730","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K23RR016106-03","Katancik, James A","MONOCYTE TISSUE FACTOR EXPRESSION IN DIABETES MELLITUS","DENTISTRY","SCHOOLS OF DENTISTRY/ORAL HYGN","$ 110,341","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K23RR016187-04","Devincenzo, John P","IMMUNOGENETICS AND THE PATHOGENESIS OF RSV INFECTION","PEDIATRICS","SCHOOLS OF MEDICINE","$ 116,043","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5K23RR016190-03","Fleckenstein, James Michael","PATHOGENESIS OF ETEC INFECTIONS","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 159,246","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5M01RR000211-38","Herrod, Henry G","GENERAL CLINICAL RESEARCH CENTER","NONE","SCHOOLS OF MEDICINE","$ 1,472,854","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5P20MH062009-04","Williams, Robert W","INFORMATICS CENTER FOR MOUSE NEUROGENETICS","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 1,127,541","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5P30AR047379-03","Kang, Andrew H","Rheumatic Disease Research Core Center","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 552,099","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                              
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5P30EY013080-04","Johnson, Dianna A","CORE GRANT FOR VISION RESEARCH","OPHTHALMOLOGY","SCHOOLS OF MEDICINE","$ 184,190","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                                
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5P50AR039166-13","Kang, Andrew H","SCOR on the Pathogenesis of Rheumatoid Arthritis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 967,972","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5P50AR044890-03","Postlethwaite, Arnold E","SCOR on the Pathogenesis of Scleroderma","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 870,959","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5R01AA011560-06","Dopico, Alejandro M","ETHANOL ACTIONS ON SLO CHANNELS FROM ARTERIES VS BRAIN","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 119,097","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF TENNESSEE HEALTH SCI CTR","5R01AA012307-05","Rao, Radhakrishna ","MECHANISM OF ENDOTOXIN ABSORPTION IN ALCOHOLISM","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 213,000","MEMPHIS","TENNESSEE","38163","  "                                                                                                                                                                                                                                                                                                 
