                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"AMC CANCER RESEARCH CENTER","5R21DK063410-02","Modiano, Jaime F","Role of Negative Regulation in Development of Diabetes","","","$ 331,740","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                       
"AMC CANCER RESEARCH CENTER","5R25CA072592-07","Raich, Peter C","Adapting the SELECT Consent Form to Veteran Participants","","","$ 202,030","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                       
"BOLDER BIOTECHNOLOGY, INC.","2R44CA084851-02","Doherty, Daniel H","Long-Acting IL-11 for Treating Thrombocytopenia","","","$ 457,625","WHEAT RIDGE","COLORADO","80033-3862","  "                                                                                                                                                                                                                                                                                                                                   
"BOLDER BIOTECHNOLOGY, INC.","5R44CA086543-03","Cox, George N","Cytokine Conjugates For Treating Thrombocytopenia","","","$ 385,453","WHEAT RIDGE","COLORADO","80033-3862","  "                                                                                                                                                                                                                                                                                                                                     
"CAP BIOTECHNOLOGY, INC.","1R43DE015218-01","Starling, Lynn B","3-D Imaged Osteoinductive Ceramic Composite Biomaterial","","","$ 109,420","GOLDEN","COLORADO","80403-7226","  "                                                                                                                                                                                                                                                                                                                                    
"CENTER FOR RESEARCH STRATEGIES"," N43MH032062-000","","DEVELOPMENT OF THE QUEST DEPRESSION MANAGEMENT SYSTEM","","","$ 98,657","DENVER","COLORADO","80203-1721","  "                                                                                                                                                                                                                                                                                                                                               
"CENTER FOR RESEARCH STRATEGIES"," N43MH032076-000","","DECISION SUPPORT SYSTEMS: DEPRESSION CARE MANAGEMENT","","","$ 97,507","DENVER","COLORADO","80203-1721","  "                                                                                                                                                                                                                                                                                                                                                
"CENTER FOR RESEARCH STRATEGIES"," N43MH032081-000","","TRAINING PROGRAM FOR RESEARCH IN RURAL COMMUNITIES","","","$ 99,358","DENVER","COLORADO","80203-1721","  "                                                                                                                                                                                                                                                                                                                                                  
"CHILDREN'S HOSPITAL (DENVER)","5K08CA085276-04","Garrington, Timothy P","MEKK2 KO DEFINES HEMATOPOIETIC CELL SIGNAL FUNCTION","","","$ 134,460","DENVER","COLORADO","80218","  "                                                                                                                                                                                                                                                                                                                                   
"CHILDREN'S HOSPITAL (DENVER)","5R01DK061886-03","Accurso, Frank J","Determinants of early pancreatic injury in cystic fibro*","","","$ 566,376","DENVER","COLORADO","80218","  "                                                                                                                                                                                                                                                                                                                                   
"CHILDREN'S HOSPITAL (DENVER)","5R01MH062485-03","Olds, David L","AGE 6 TEST OF HOME VISITS BY NURSES VS PARAPROFESSIONALS","","","$ 505,619","DENVER","COLORADO","80218","  "                                                                                                                                                                                                                                                                                                                                      
"COLORADO CANCER RESEARCH PROGRAM, INC.","5U10CA067753-09","Pajon, Eduardo R","CCOP--Colorado Cancer Research Program","","","$ 737,951","DENVER","COLORADO","80209","  "                                                                                                                                                                                                                                                                                                                                           
"COLORADO SCHOOL OF MINES","1R21EB001722-01","Squier, Jeff A","Light-Powered Microfluidic Cell Separator and Imager","PHYSICS","OTHER SPECIALIZED SCHOOLS","$ 189,114","GOLDEN","COLORADO","80401-1887","  "                                                                                                                                                                                                                                                                                                        
"COLORADO STATE UNIVERSITY-FORT COLLINS"," N01AI025469-002","","LEPROSY RESEARCH SUPPORT - POST GENOME ERA","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 519,641","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                       
"COLORADO STATE UNIVERSITY-FORT COLLINS"," N01AI025491-002","","US BASED COLLABORATION IN EMERGING VIRAL AND PRION DISEASES","PATHOLOGY","SCHOOLS OF MEDICINE","$ 1,070,660","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                                 
"COLORADO STATE UNIVERSITY-FORT COLLINS"," N01AI975320-011","","TUBERCULOSIS RESEARCH MATERIALS AND VACINE TESTING","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 1,016,723","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                             
"COLORADO STATE UNIVERSITY-FORT COLLINS"," N01AI995385-006","","ANIMAL MODEL TESTING OF TB DRUGS","OTHER CLINICAL SCIENCES","SCHOOLS OF MEDICINE","$ 487,058","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","1F31NS046959-01","Sandau, Ursula S","Glucocorticoid regulation of Bnip3 in brain","VETERINARY SCIENCES","SCHOOLS OF VETERINARY MEDICINE","$ 34,418","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","1F32GM069178-01","Ahrendt, Kateri Ann","Total Synthesis of the Marine Alkaloid Nakadomarin A","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 39,700","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","1K01DK064647-01","Nelson, Tracy L","Gene-Environment Interactions in Obesity and Diabetes","MISCELLANEOUS","SCH OF HOME ECON/HUMAN ECOLOGY","$ 124,200","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                            
"COLORADO STATE UNIVERSITY-FORT COLLINS","1K08AI054194-01A1","Torres, Andrea Nicole","FeLV Infection: A Model of Effective Retroviral Immunity","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 82,080","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                    
"COLORADO STATE UNIVERSITY-FORT COLLINS","1K08AI055803-01","Nelson, Keith G","Innate Immunity Driven Th1/Th2 bias in Leishmaniasis","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 92,880","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01AI051588-01A1","Schweizer, Herbert P","Regulation and function of Pseudomonas drug efflux pumps","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 277,454","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                    
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01AI054697-01","Orme, Ian M","Guinea pig model for TB vaccine evaluations","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 465,037","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                            
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01AI055298-01","Slayden, Richard A","Regulation of Cellular division in M. tuberculosis","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 250,998","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                              
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01DC006021-01","Kinnamon, Sue C","Mechanisms of sweet transduction in mammalian taste buds","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 336,525","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                  
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01EB001473-01","Grainger, David W","DNA Microarray Surface Analysis to Optimize Detection","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 453,752","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01GM067777-01","Luger, Karolin ","Structure and function of nucleosome assembly protein 1","BIOCHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 252,376","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                             
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01NS045144-01","Dudek, Francis Edward","Progression of temporal lobe epilepsy","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 488,369","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R01NS045865-01","Reist, Noreen E","Mutational Analysis of Synaptotagmin Function In Vivo","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 297,343","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                     
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R03DC005140-01A2","Ogura, Tatsuya ","Acetylcholine receptors in taste receptor cells","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 72,500","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R03HD041942-01A1","Fidler, Deborah J","Cognitive Strengths and Weaknesses in Downs syndrome","OTHER HEALTH PROFESSIONS","SCH OF HOME ECON/HUMAN ECOLOGY","$ 69,233","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R03TW005922-01A2","Tobet, Stuart A","Cellular Differentiation in the Preoptic Area","VETERINARY SCIENCES","SCHOOLS OF VETERINARY MEDICINE","$ 38,760","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                             
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R03TW006237-01","Mcneil, Michael R","D-arabinose synthesis in TB using Azorhizobium as a tool","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 39,540","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R03TW006487-01","Brennan, Patrick J","M. tuberculosis Cell Wall Biogenesis; New Drugs; TB-HIV","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 38,500","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R21NS046719-01","Pickard, Gary E","Dual PRV Transsynaptic Labeling: EGFP & mRFP1 Reporters","VETERINARY SCIENCES","SCHOOLS OF VETERINARY MEDICINE","$ 129,738","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                    
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R24RR017569-01A1","Baker, Dale C","CHARACTERIZATION OF DEFECTIVE G-GLUTAMYL CARBOXYLASE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 293,364","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","1R25DK067017-01","Florant, Gregory L","Short-term training program for minority students in Bi*","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 41,034","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","1U01AI056487-01","Dow, Steven W","Antigen Presentation and Pulmonary Immunity to Plague","OTHER CLINICAL SCIENCES","SCHOOLS OF VETERINARY MEDICINE","$ 258,927","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                    
"COLORADO STATE UNIVERSITY-FORT COLLINS","1UC6AI058600-01","Frank, Anthony A","Construction/Regional Biocontainment Lab for Region VIII","NONE","SCHOOLS OF VETERINARY MEDICINE","$ 16,624,325","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                              
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01AI032543-10","Beaty, Barry J","Mosquito Reservoir for Bunyavirus Transeasonality","NONE","SCHOOLS OF VETERINARY MEDICINE","$ 252,049","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01CA043322-17A2","Ullrich, Robert L","Carcinogenic Interactions of Radiation and Chemicals","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF VETERINARY MEDICINE","$ 287,240","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                         
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01CA055035-10A1","Nyborg, Jennifer K","Transcriptional Regulation by the HTLV-1 Tax Protein","BIOCHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 308,785","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                           
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01CA084059-05A1","Thompson, Henry J","Selenium and Lung Cancer Risk","NONE","ORGANIZED RESEARCH UNITS","$ 306,013","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01GM059705-05","Shi, Yian ","Asymmetric Epoxidation of Olefins by Chiral Dioxiranes","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 289,057","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                      
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01HD009618-26A1","Sanborn, Barbara M","Uterine Relaxing Factors: Molecular Aspects of Action","VETERINARY SCIENCES","SCHOOLS OF VETERINARY MEDICINE","$ 279,972","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                 
"COLORADO STATE UNIVERSITY-FORT COLLINS","2R01NS016683-22","Dudek, Francis Edward","Local interactions between hippocampal neurons","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 344,375","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                      
"COLORADO STATE UNIVERSITY-FORT COLLINS","2T32CA009236-26A1","Ullrich, Robert L","Radiological Health Sciences Basic to Cancer Research","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF VETERINARY MEDICINE","$ 370,108","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                        
"COLORADO STATE UNIVERSITY-FORT COLLINS","3R01DK037124-17S1","Curthoys, Norman P","Control of Renal Glutaminase Induction During Acidosis","BIOCHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 10,183","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","3R01DK037124-18S1","Curthoys, Norman P","Control of Renal Glutaminase Induction During Acidosis","BIOCHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 39,015","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","4R37AI018357-23","Brennan, Patrick J","MYCOBACTERIAL CELL WALL AND DRUG DISCOVERY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 412,500","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                      
"COLORADO STATE UNIVERSITY-FORT COLLINS","5D43TW001130-05","Beaty, Barry J","ACTIONS FOR BUILDING CAPACITY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 100,000","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                       
"COLORADO STATE UNIVERSITY-FORT COLLINS","5F32HD008733-03","Pouliot, Wendy A","TESTOSTERONE REGULATION OF GNRH NEURONAL ACTIVITY","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 49,864","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                         
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K01DA014271-02","Aloiseyoung, Patricia A","Substance use among children of Hispanic school dropouts","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 122,429","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                      
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08AI001779-04","Allison, Robin W","FIV MODEL OF VERTICAL HIV TRANSMISSION AND INTERVENTION","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 84,935","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                            
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08AI001784-03","Sprague, Wendy S","THE ROLE OF DENDRITIC CELLS IN IMMUNITY TO FIV INFECTION","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 96,654","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                           
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08AI001802-04","Sigurdson, Christina J","CWD:  ROLE OF THE LYMPHOID TISSUE PHASE IN PRION DISEASE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 118,476","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                    
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08AI001828-04","Troth, Sean P","CXCR4 IN FIV INFECTION AND EXPERIMENTAL THERAPY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 98,321","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                       
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08AI052253-02","Wilson, Randy Jeffery","Antigens and Immune Response in Malaria Infection","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 94,651","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                             
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K08ES000380-04","Painter, Jon T","PROGRESSION OF HEPATIC NEOPLASIA BY PCB/ARSENIC MIXTURES","NONE","ORGANIZED RESEARCH UNITS","$ 103,397","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                         
"COLORADO STATE UNIVERSITY-FORT COLLINS","5K25ES011146-03","Reisfeld, Brad ","Biologically Based Reaction Network Modeling of P4502E1","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF VETERINARY MEDICINE","$ 139,671","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","5P50DA007074-12","Oetting, Eugene R","THE TRI-ETHNIC CENTER FOR PREVENTION RESEARCH","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 1,252,863","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                     
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AA010377-07","Slater, Michael D","Alcohol risk perceptions and the media","MISCELLANEOUS","SCH OF HOME ECON/HUMAN ECOLOGY","$ 446,274","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                         
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AA012693-04","Handa, Robert J","FETAL ALCOHOL EXPOSURE AND REPRODUCTIVE DEFICITS","ANATOMY/CELL BIOLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 290,000","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI033706-12","Mcneil, Michael R","Cell Wall Biogenesis-Target for new Anti-TB drugs","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 372,915","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI034014-10","Blair, Carol D","Interference to Dengue Virus Replication in Mosquitoes","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 216,083","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                              
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI040488-07","Orme, Ian M","Defined Native Antigens and Immunity to tuberculosis","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 288,704","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                   
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI043473-05","Gentryweeks, Claudia R","INTERACTION OF ENTEROCOCCUS FAECALIS WITH MACROPHAGES","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 134,915","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                       
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI044042-05","Belisle, John T","GLYCOPROTEINS OF MYCOBACTERIUM TUBERCULOSIS","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 237,107","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                        
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI044072-05","Orme, Ian M","CHRONIC TUBERCULOSIS--LATENT OR DYNAMIC","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 290,934","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                                
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI045573-04","Barillasmury, Carolina V","THE MOSQUITO IMMUNE RESPONSE AND MALARIA TRANSMISSION","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 253,750","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                     
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI045707-04","Orme, Ian M","STRATEGIES FOR TUBERCULOSIS VACCINE DEVELOPMENT AND SCRE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 290,000","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                               
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI046753-05","Beaty, Barry J","VIRUS EXPRESSION SYSTEMS IN VECTOR BIOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 306,778","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                          
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI047139-03","Carlson, Jonathan O","Densoviruses as Transducing Vectors","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 308,559","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                            
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI047197-03","Brennan, Patrick J","LEPROSY BACILLUS,: FROM GENOTYPE TO PHENOTYPE","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 377,100","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                                   
"COLORADO STATE UNIVERSITY-FORT COLLINS","5R01AI048740-03","Olson, Kenneth E","BLOCKING DENGUE TRANSMISSION BY TRANSGENIC AEDES AEGYPTI","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF VETERINARY MEDICINE","$ 495,111","FORT COLLINS","COLORADO","80523","  "                                                                                                                                                                                                                                                          
