                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"ADA TECHNOLOGIES, INC.","1R43HD043525-01","Veatch, Bradley D","An Improved Prosthetic Bioactuator","","","$ 99,997","LITTLETON","COLORADO","80127","  "                                                                                                                                                                                                                                                                                                                                                            
"ADA TECHNOLOGIES, INC.","1R43HD044284-01","Veatch, Bradley D","Powered Orthoses for Augmenting Upper Limb Functionally","","","$ 84,759","LITTLETON","COLORADO","80127","  "                                                                                                                                                                                                                                                                                                                                       
"ADA TECHNOLOGIES, INC.","5R43ES011885-02","Lovell, John S","Sorbents for Removal of Arsenic and Heavy Metals","","","$ 151,706","LITTLETON","COLORADO","80127","  "                                                                                                                                                                                                                                                                                                                                                
"ADA TECHNOLOGIES, INC.","5R44DE014010-03","Turchi, Craig S","Enhanced Dental Amalgam Trap","","","$ 342,559","LITTLETON","COLORADO","80127","  "                                                                                                                                                                                                                                                                                                                                                                   
"ADA TECHNOLOGIES, INC.","5R44HD039046-03","Veatch, Bradley D","An Innovative Body-Powered Voluntary-Closing Prehensor","","","$ 299,963","LITTLETON","COLORADO","80127","  "                                                                                                                                                                                                                                                                                                                                       
"AEROPHASE, INC.","5R44HL066830-03","Hansen, Brian N","Lung Drug Delivery with Carbon Dioxide Aerosol Inhalers","","","$ 366,475","LONGMONT","COLORADO","80501","  "                                                                                                                                                                                                                                                                                                                                                
"AMC CANCER RESEARCH CENTER","1R01CA102747-01","Slaga, Thomas J","Combined Natural Inhibitors in Skin Cancer Prevention","","","$ 417,500","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                         
"AMC CANCER RESEARCH CENTER","1R21CA098744-01A1","Kumar, Pratap P","Nexrutine, a herbal extract and prostate cancer","","","$ 249,160","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                             
"AMC CANCER RESEARCH CENTER","3R01CA079065-05S1","Slaga, Thomas J","GR IMPAIRMENT IN CARCINOGENESIS--ROLE OF NF KAPPA BETA","","","$ 15,000","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                       
"AMC CANCER RESEARCH CENTER","5F32AI050392-02","Frazerabel, Ashley A","Mechanisms of Nicotine Induced Immunosuppression","","","$ 46,420","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                          
"AMC CANCER RESEARCH CENTER","5K07CA079554-05","Westerlind, Kim C","EXERCISE AND THE PREVENTION OF BREAST CANCER","","","$ 97,634","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                                 
"AMC CANCER RESEARCH CENTER","5R01CA085669-03","Strange, Robert ","AKT 1 AND MAMMARY CELL SURVIVAL DURING THE ESTRUS CYCLE","","","$ 296,578","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                      
"AMC CANCER RESEARCH CENTER","5R01CA085944-03","Schedin, Pepper J","Endocrine Status of MG Stroma Alters Breast CA Invasion","","","$ 266,175","DENVER","COLORADO","80214","  "                                                                                                                                                                                                                                                                                                                                     
